dep,arr,dep_country,arr_country,dep_continent,arr_continent,flights,cycles,block_h,median_block_h,gc_km,night_share,inferred_share,suspect_share,first_seen,last_seen,callsigns,aircraft,suggested,segment
LGG,EWR,BE,US,EU,NA,1,1,9.65,9.65,5981.1,0.0,0.0,0.0,2026-07-14T13:54:58Z,2026-07-14T13:54:58Z,CJT3126,1,?,charter
MIA,EZE,US,AR,NA,SA,1,1,9.01,9.01,7119.2,0.0,0.0,0.0,2025-08-24T11:13:55Z,2025-08-24T11:13:55Z,CJT1557,1,acmi,acmi
CMH,YHM,US,CA,NA,NA,8,8,8.46,1.05,430.3,0.0,0.0,0.125,2025-04-07T17:50:13Z,2026-04-14T19:25:14Z,00000000 CJT3128 CJT3196 CJT3208 CJT3346,7,?,charter
EMA,CVG,GB,US,EU,NA,1,1,8.42,8.42,6248.2,1.0,0.0,0.0,2025-04-13T07:42:02Z,2025-04-13T07:42:02Z,CJT370,1,?,charter
MIA,DUB,US,IE,NA,EU,1,1,8.32,8.32,6693.0,0.0,0.0,0.0,2025-04-06T12:01:28Z,2025-04-06T12:01:28Z,CJT3189,1,?,charter
YEG,YHM,CA,CA,NA,NA,2,2,8.13,4.06,2702.6,1.0,0.0,0.0,2025-08-12T03:28:02Z,2026-08-05T04:00:50Z,CJT574,2,domestic,domestic
GYR,YHM,US,CA,NA,NA,2,2,7.78,3.89,3008.9,0.0,0.0,0.0,2026-04-17T18:29:18Z,2026-08-15T16:20:42Z,CJT9002 CJT9003,2,?,charter
CVG,HRL,US,US,NA,NA,3,3,7.69,2.55,1869.6,0.667,0.0,0.0,2025-04-08T10:59:07Z,2025-04-11T10:50:04Z,00000000,1,?,charter
YHM,YHM,CA,CA,NA,NA,2,4,7.67,3.83,0.0,1.0,0.0,0.0,2026-07-23T05:49:10Z,2026-09-03T06:10:22Z,CJT623,2,domestic,domestic
YHM,MMX,CA,SE,NA,EU,1,1,7.59,7.59,6371.1,0.0,0.0,0.0,2026-04-03T14:47:08Z,2026-04-03T14:47:08Z,CJT3121,1,?,charter
YEG,CVG,CA,US,NA,NA,2,2,7.37,3.68,2702.9,0.0,0.0,0.0,2025-04-18T18:10:53Z,2026-04-03T19:17:20Z,CJT1917,2,?,charter
YMX,YVR,CA,CA,NA,NA,1,1,7.09,7.09,3651.4,1.0,0.0,0.0,2025-08-12T03:55:28Z,2025-08-12T03:55:28Z,CJT567,1,domestic,domestic
MIA,POS,US,TT,NA,NA,2,2,7.06,3.53,2613.4,0.0,0.0,0.0,2026-07-14T20:11:18Z,2026-08-11T19:57:31Z,CJT261 CSB261,1,acmi,acmi
YHZ,YHM,CA,CA,NA,NA,3,3,6.91,2.31,1324.2,1.0,0.0,0.0,2025-08-25T07:13:45Z,2026-04-17T09:32:42Z,CJT623 CJT627,3,domestic,domestic
YHM,MIA,CA,US,NA,NA,2,2,6.55,3.27,1932.3,0.5,0.0,0.0,2025-04-15T04:43:10Z,2026-04-07T19:34:23Z,CJT9001 CJT9004,2,?,charter
