"Date","Price","Open","High","Low","Vol.","Change %"
"02/25/2025","101.20","103.00","104.80","101.08","81.97K","-2.38%"
"02/24/2025","103.67","101.50","104.82","99.14","158.33K","2.30%"
"02/21/2025","101.34","105.33","105.33","100.25","200.72K","-3.56%"
"02/20/2025","105.08","107.70","107.93","104.96","117.73K","-2.16%"
"02/19/2025","107.40","112.89","112.89","106.36","158.44K","-3.58%"
"02/18/2025","111.39","117.00","117.00","102.57","230.50K","2.07%"
"02/14/2025","109.13","108.54","109.55","108.04","52.27K","0.38%"
"02/13/2025","108.72","109.51","111.50","108.51","58.53K","-0.46%"
"02/12/2025","109.22","110.99","111.07","108.79","111.11K","-1.93%"
"02/11/2025","111.37","112.00","112.21","111.03","43.06K","-0.84%"
"02/10/2025","112.31","113.00","115.03","112.31","29.62K","-0.20%"
"02/07/2025","112.54","115.64","115.71","111.90","62.80K","-2.75%"
"02/06/2025","115.72","112.51","118.28","111.52","111.23K","3.28%"
"02/05/2025","112.04","112.42","113.10","111.56","39.27K","0.00%"
"02/04/2025","112.04","112.39","113.51","110.48","155.24K","0.11%"
"02/03/2025","111.92","105.98","115.82","105.01","205.81K","-6.01%"
"01/31/2025","119.08","124.02","124.14","118.50","131.67K","-3.77%"
"01/30/2025","123.75","126.68","127.91","123.50","58.66K","-2.51%"
"01/29/2025","126.94","123.82","128.19","123.82","72.99K","1.94%"
"01/28/2025","124.52","123.42","126.00","123.42","98.25K","1.07%"
"01/27/2025","123.20","121.91","124.70","121.91","62.15K","-0.23%"
"01/24/2025","123.48","122.20","123.82","122.18","32.33K","0.54%"
"01/23/2025","122.82","122.48","124.25","121.76","57.50K","-0.23%"
"01/22/2025","123.10","121.34","123.50","120.02","50.82K","1.42%"
"01/21/2025","121.38","126.00","128.05","121.34","83.61K","-4.43%"
"01/20/2025","127.00","122.61","127.10","122.61","82.97K","3.63%"
"01/17/2025","122.55","120.73","124.00","120.73","104.77K","1.70%"
"01/16/2025","120.50","120.13","121.24","118.39","83.50K","0.42%"
"01/15/2025","120.00","118.05","120.65","118.05","166.33K","2.74%"
"01/14/2025","116.80","114.00","116.91","114.00","91.00K","2.87%"
"01/13/2025","113.54","112.00","113.64","110.64","82.96K","0.45%"
"01/10/2025","113.03","111.26","113.55","110.78","65.21K","0.20%"
"01/09/2025","112.80","111.90","114.07","111.61","39.24K","0.86%"
"01/08/2025","111.84","113.27","114.25","110.90","74.65K","-1.33%"
"01/07/2025","113.35","112.97","114.36","112.10","107.18K","0.16%"
"01/06/2025","113.17","112.60","116.22","112.60","152.18K","0.49%"
